Raw_material,Category,Unit,Quantity,Total
Capsicum,Vegetable,Kg,3.5,168.0
Medium Prawns,Meat Material,Kg,4.3,2365.0
Rice Atta,Grocery,Kg,5.0,250.0
Legacy Premium,Bar,BTL,1.0,10.0
Milk 3 Fat,Dairy Products,PKT,30.0,1680.0
Onion,Vegetable,Kg,66.0,3036.0
Malai Paneer,Dairy Products,Kg,6.0,1920.0
Milk 3 Fat,Dairy Products,PKT,30.0,1680.0
Onion,Vegetable,Kg,58.0,2668.0
Bell Pepper Red,Vegetable,Kg,2.0,260.0
Spicy Banana Chips (red),Bakery,Kg,10.0,3100.0
Green Tea,Beverages,PKT,1.0,314.0
Chopsuey Noodles,Food Ingredients,Kg,4.0,192.0
Pomfret,Meat Material,Kg,4.1,5125.0
Cabbage,Vegetable,Kg,3.0,90.0
Curd Mother Dairy,Dairy Products,Kg,30.0,3221.97
Spring Onion,Vegetable,Kg,4.0,192.0
Carrots,Vegetable,Kg,13.5,486.0
Fresh Beans,Vegetable,Kg,6.0,408.0
Sesame Oil,Food Ingredients,BTL,1.0,442.91
Baby Potato,Vegetable,Kg,2.0,80.0
Green Zucchini,Vegetable,Kg,1.0,110.0
Bombay Sapphire,Bar,BTL,2.0,5104.28
Keel Patta,Vegetable,Kg,0.3,144.0
Baby Potato,Vegetable,Kg,2.0,80.0
Bell Pepper Red,Vegetable,Kg,3.0,390.0
Ginger,Vegetable,Kg,1.5,105.0
Water Melon,Fresh Fruits,Kg,9.4,376.0
Orange,Fresh Fruits,Kg,12.0,562.44
Skull Cap,Non Food,PKT,5.0,367.5
Eggs,Food Ingredients,PCS,150.0,1005.0
Chapati For Staff,Grocery,PCS,250.0,1375.0
Refind Oil,Food Ingredients,LTR,50.0,5070.8
Chicken Tandoori,Meat Material,Kg,1.6,368.0
Chinese Cabbage,Vegetable,Kg,1.0,110.0
Lemon,Vegetable,Kg,12.5,875.0
Medium Prawns,Meat Material,Kg,3.8,2090.0
Spinach,Vegetable,Kg,9.0,324.0
Spinach,Vegetable,Kg,12.0,432.0
Staff Veg,Vegetable,Kg,15.0,570.0
Hazelnut Syrup,Beverages,BTL,3.0,2442.6
Mint Leaves,Vegetable,Kg,1.0,48.0
Chicken Breast Bonless,Meat Material,Kg,10.0,2500.0
Apple,Fresh Fruits,Kg,2.0,360.0
Oreo Biscuit,Grocery,PKT,10.0,100.0
Spinach,Vegetable,Kg,2.0,72.0
Tissue Paper Ettarra,Non Food,PKT,50.0,3422.0
Tiger Prawns,Meat Material,Kg,6.3,6930.0
Refind Oil,Food Ingredients,LTR,50.0,5968.6
Capsico Sauce,Food Ingredients,BTL,12.0,879.24
Yellow Zucchini,Vegetable,Kg,0.5,55.0
Water Chestnuts,Food Ingredients,TIN,12.0,1250.6
Blenders Pride,Bar,BTL,3.0,3992.58
Chinese Cabbage,Vegetable,Kg,1.0,110.0
Green Zucchini,Vegetable,Kg,1.0,110.0
Spring Onion,Vegetable,Kg,3.0,144.0
Green Peppercorn,Grocery,BTL,1.0,200.0
Carrots,Vegetable,Kg,0.5,18.0
Floor Duster,Non Food,NOS,24.0,252.0
Corona,Bar,BTL,48.0,8747.38
Muskmelon,Fresh Fruits,Kg,2.8,154.0
Chicken Drumstick,Meat Material,Kg,4.5,1080.0
Worcestershire Sauce Kalvert (bar),Food Ingredients,BTL,1.0,123.2
Pok Choy,Vegetable,Kg,1.0,110.0
Elaichi Bananas,Fresh Fruits,Kg,1.6,176.0
